block_number,timestamp,contract_address,method,amount
6649110,2024-09-12T16:56:47.000Z,0xcc2c1d45a3eceedec364a6b9e537ae97fa20bea7,DepositERC20,668493767
6689104,2024-09-13T15:09:55.000Z,0x32768e87f7e929616f43b02f83c0f155a942bc6b,DepositERC20,1000000000000000000
7329119,2024-09-28T10:43:45.000Z,0xb13e4a342c43c89780b903da8b89a343f7ec381c,DepositERC20,67004000
7329136,2024-09-28T10:44:19.000Z,0x2bcc70980a6fe3d6726481ae099f99a8aca4326b,DepositERC20,870000000000000000
7330275,2024-09-28T11:22:17.000Z,0xcc2c1d45a3eceedec364a6b9e537ae97fa20bea7,DepositERC20,801997794
7719794,2024-10-07T11:46:15.000Z,0xcc2c1d45a3eceedec364a6b9e537ae97fa20bea7,DepositERC20,604381508
7725259,2024-10-07T14:48:25.000Z,0xcc2c1d45a3eceedec364a6b9e537ae97fa20bea7,DepositERC20,900000000
7891295,2024-10-11T11:02:57.000Z,0x22d89f64561a3a6d9aeae732cf249f425d2d49ff,DepositERC20,1479000000
7895018,2024-10-11T13:07:03.000Z,0xcc2c1d45a3eceedec364a6b9e537ae97fa20bea7,DepositERC20,2000000000
10603089,2024-12-13T05:36:05.000Z,0x32768e87f7e929616f43b02f83c0f155a942bc6b,DepositERC20,1000000000000000000
11130785,2024-12-25T10:45:57.000Z,0xcc2c1d45a3eceedec364a6b9e537ae97fa20bea7,DepositERC20,186250699
11604918,2025-01-05T10:10:23.000Z,0xcc2c1d45a3eceedec364a6b9e537ae97fa20bea7,DepositERC20,300000000
12046355,2025-01-15T15:24:57.000Z,0xcc2c1d45a3eceedec364a6b9e537ae97fa20bea7,DepositERC20,22034902
12426217,2025-01-24T10:27:01.000Z,0x1b08d820e52e61536bef9bd6d3beb2987f75d99a,DepositERC20,500000000
